name,density,surface_tension,dynamic_viscosity,kinematic_viscosity
Glycerol_0.65,1166.7,0.074975,0.081848735,7.01541E-05
Glycerol_0.66,1169.28,0.07501,0.087744831,7.50418E-05
Glycerol_0.67,1171.86,0.075045,0.09406566,8.02704E-05
Glycerol_0.68,1174.44,0.07508,0.100841821,8.58637E-05
Glycerol_0.69,1177.02,0.075115,0.108106112,9.18473E-05
Glycerol_0.7,1179.6,0.07515,0.115893697,9.82483E-05
Glycerol_0.71,1182.18,0.075185,0.124242272,0.000105096
Glycerol_0.72,1184.76,0.07522,0.133192249,0.000112421
Glycerol_0.73,1187.34,0.075255,0.142786951,0.000120258
Glycerol_0.74,1189.92,0.07529,0.153072822,0.000128641
Glycerol_0.75,1192.5,0.075325,0.164099652,0.00013761
Glycerol_0.76,1195.08,0.07536,0.175920815,0.000147204
Glycerol_0.77,1197.66,0.075395,0.188593533,0.000157468
Glycerol_0.78,1200.24,0.07543,0.202179149,0.000168449
Glycerol_0.79,1202.82,0.075465,0.216743426,0.000180196
Glycerol_0.8,1205.4,0.0755,0.232356862,0.000192763
Glycerol_0.81,1207.98,0.075535,0.249095035,0.000206208
Glycerol_0.82,1210.56,0.07557,0.267038967,0.000220591
Glycerol_0.83,1213.14,0.075605,0.286275517,0.000235979
Glycerol_0.84,1215.72,0.07564,0.306897801,0.000252441
Glycerol_0.85,1218.3,0.075675,0.329005642,0.000270053
Glycerol_0.86,1220.88,0.07571,0.352706054,0.000288895
Glycerol_0.87,1223.46,0.075745,0.378113761,0.000309053
Glycerol_0.88,1226.04,0.07578,0.40535175,0.000330619
Glycerol_0.89,1228.62,0.075815,0.434551867,0.000353691
Glycerol_0.9,1231.2,0.07585,0.465855459,0.000378375
Glycerol_0.91,1233.78,0.075885,0.499414052,0.000404784
Glycerol_0.92,1236.36,0.07592,0.535390088,0.000433037
Glycerol_0.93,1238.94,0.075955,0.573957712,0.000463265
Glycerol_0.94,1241.52,0.07599,0.615303611,0.000495605
Glycerol_0.95,1244.1,0.076025,0.659627925,0.000530205
Glycerol_0.96,1246.68,0.07606,0.707145206,0.000567223
Glycerol_0.97,1249.26,0.076095,0.758085465,0.000606828
Glycerol_0.98,1251.84,0.07613,0.812695283,0.000649201
Glycerol_0.99,1254.42,0.076165,0.871238999,0.000694535
