name,density,surface_tension,dynamic_viscosity,kinematic_viscosity
1-3-Butanediol_0.29,999.87,0.065276,0.003482631,3.48308E-06
1-3-Butanediol_0.3,999.9,0.06502,0.003650388,3.65075E-06
1-3-Butanediol_0.31,999.93,0.064764,0.003826227,3.82649E-06
1-3-Butanediol_0.32,999.96,0.064508,0.004010535,4.0107E-06
1-3-Butanediol_0.33,999.99,0.064252,0.004203722,4.20376E-06
1-3-Butanediol_0.34,1000.02,0.063996,0.004406214,4.40613E-06
1-3-Butanediol_0.35,1000.05,0.06374,0.004618461,4.61823E-06
1-3-Butanediol_0.36,1000.08,0.063484,0.004840931,4.84054E-06
1-3-Butanediol_0.37,1000.11,0.063228,0.005074117,5.07356E-06
1-3-Butanediol_0.38,1000.14,0.062972,0.005318536,5.31779E-06
1-3-Butanediol_0.39,1000.17,0.062716,0.005574729,5.57378E-06
1-3-Butanediol_0.4,1000.2,0.06246,0.005843263,5.84209E-06
1-3-Butanediol_0.41,1000.23,0.062204,0.006124731,6.12332E-06
1-3-Butanediol_0.42,1000.26,0.061948,0.006419758,6.41809E-06
1-3-Butanediol_0.43,1000.29,0.061692,0.006728997,6.72705E-06
1-3-Butanediol_0.44,1000.32,0.061436,0.007053131,7.05087E-06
1-3-Butanediol_0.45,1000.35,0.06118,0.007392879,7.39029E-06
1-3-Butanediol_0.46,1000.38,0.060924,0.007748992,7.74605E-06
1-3-Butanediol_0.47,1000.41,0.060668,0.008122259,8.11893E-06
1-3-Butanediol_0.48,1000.44,0.060412,0.008513507,8.50976E-06
1-3-Butanediol_0.49,1000.47,0.060156,0.008923601,8.91941E-06
1-3-Butanediol_0.5,1000.5,0.0599,0.009353449,9.34877E-06
1-3-Butanediol_0.51,1000.53,0.059644,0.009804002,9.79881E-06
1-3-Butanediol_0.52,1000.56,0.059388,0.010276259,1.02705E-05
1-3-Butanediol_0.53,1000.59,0.059132,0.010771264,1.07649E-05
1-3-Butanediol_0.54,1000.62,0.058876,0.011290113,1.12831E-05
1-3-Butanediol_0.55,1000.65,0.05862,0.011833956,1.18263E-05
1-3-Butanediol_0.56,1000.68,0.058364,0.012403995,1.23956E-05
1-3-Butanediol_0.57,1000.71,0.058108,0.013001492,1.29923E-05
1-3-Butanediol_0.58,1000.74,0.057852,0.013627772,1.36177E-05
1-3-Butanediol_0.59,1000.77,0.057596,0.014284218,1.42732E-05
1-3-Butanediol_0.6,1000.8,0.05734,0.014972286,1.49603E-05
1-3-Butanediol_0.61,1000.83,0.057084,0.015693498,1.56805E-05
1-3-Butanediol_0.62,1000.86,0.056828,0.01644945,1.64353E-05
1-3-Butanediol_0.63,1000.89,0.056572,0.017241816,1.72265E-05
1-3-Butanediol_0.64,1000.92,0.056316,0.018072351,1.80557E-05
1-3-Butanediol_0.65,1000.95,0.05606,0.018942892,1.89249E-05
