79,Silicon tetrachloride,1645,0.0188,0.0994,6.04E-05
80,Bis(2-ethylhexyl)phthalate (BEHP),980,0.0311,0.08,8.16E-05
81,1-3-Butanediol,1002,0.0471,0.0983,9.81E-05
82,Triethanolamine,1120,0.0515,0.609,0.00054375
83,Glycerol,1257,0.0762,0.934,0.000743039
84,1-3-Butanediol_0.03,999.09,0.071932,0.001024908,1.03E-06
85,1-3-Butanediol_0.06,999.18,0.071164,0.001180266,1.18E-06
86,1-3-Butanediol_0.09,999.27,0.070396,0.001359173,1.36E-06
87,1-3-Butanediol_0.12,999.36,0.069628,0.001565199,1.57E-06
88,1-3-Butanediol_0.15,999.45,0.06886,0.001802455,1.80E-06
89,1-3-Butanediol_0.18,999.54,0.068092,0.002075675,2.08E-06
90,1-3-Butanediol_0.21,999.63,0.067324,0.002390311,2.39E-06
91,1-3-Butanediol_0.24,999.72,0.066556,0.002752639,2.75E-06
92,1-3-Butanediol_0.27,999.81,0.065788,0.00316989,3.17E-06
93,1-3-Butanediol_0.3,999.9,0.06502,0.003650388,3.65E-06
94,1-3-Butanediol_0.33,999.99,0.064252,0.004203722,4.20E-06
95,1-3-Butanediol_0.36,1000.08,0.063484,0.004840931,4.84E-06
96,1-3-Butanediol_0.39,1000.17,0.062716,0.005574729,5.57E-06
97,1-3-Butanediol_0.42,1000.26,0.061948,0.006419758,6.42E-06
98,1-3-Butanediol_0.45,1000.35,0.06118,0.007392879,7.39E-06
99,1-3-Butanediol_0.48,1000.44,0.060412,0.008513507,8.51E-06
100,1-3-Butanediol_0.51,1000.53,0.059644,0.009804002,9.80E-06
101,1-3-Butanediol_0.54,1000.62,0.058876,0.011290113,1.13E-05
102,1-3-Butanediol_0.57,1000.71,0.058108,0.013001492,1.30E-05
103,1-3-Butanediol_0.6,1000.8,0.05734,0.014972286,1.50E-05
104,1-3-Butanediol_0.63,1000.89,0.056572,0.017241816,1.72E-05
105,1-3-Butanediol_0.66,1000.98,0.055804,0.019855367,1.98E-05
106,1-3-Butanediol_0.69,1001.07,0.055036,0.022865085,2.28E-05
107,1-3-Butanediol_0.72,1001.16,0.054268,0.026331023,2.63E-05
108,1-3-Butanediol_0.75,1001.25,0.0535,0.030322335,3.03E-05
109,1-3-Butanediol_0.78,1001.34,0.052732,0.034918658,3.49E-05
110,1-3-Butanediol_0.81,1001.43,0.051964,0.040211702,4.02E-05
111,1-3-Butanediol_0.84,1001.52,0.051196,0.046307076,4.62E-05
112,1-3-Butanediol_0.87,1001.61,0.050428,0.053326399,5.32E-05
113,1-3-Butanediol_0.9,1001.7,0.04966,0.061409727,6.13E-05
114,1-3-Butanediol_0.93,1001.79,0.048892,0.070718342,7.06E-05
115,1-3-Butanediol_0.96,1001.88,0.048124,0.081437977,8.13E-05
116,1-3-Butanediol_0.99,1001.97,0.047356,0.093782517,9.36E-05
117,Triethanolamine_0.03,1002.63,0.072064,0.001082547,1.08E-06
118,Triethanolamine_0.06,1006.26,0.071428,0.001316751,1.31E-06
119,Triethanolamine_0.09,1009.89,0.070792,0.001601624,1.59E-06
120,Triethanolamine_0.12,1013.52,0.070156,0.001948127,1.92E-06
121,Triethanolamine_0.15,1017.15,0.06952,0.002369595,2.33E-06
122,Triethanolamine_0.18,1020.78,0.068884,0.002882245,2.82E-06
123,Triethanolamine_0.21,1024.41,0.068248,0.003505805,3.42E-06
124,Triethanolamine_0.24,1028.04,0.067612,0.004264269,4.15E-06
125,Triethanolamine_0.27,1031.67,0.066976,0.005186822,5.03E-06
126,Triethanolamine_0.3,1035.3,0.06634,0.006308966,6.09E-06
127,Triethanolamine_0.33,1038.93,0.065704,0.00767388,7.39E-06
128,Triethanolamine_0.36,1042.56,0.065068,0.009334087,8.95E-06
129,Triethanolamine_0.39,1046.19,0.064432,0.011353471,1.09E-05
130,Triethanolamine_0.42,1049.82,0.063796,0.013809739,1.32E-05
131,Triethanolamine_0.45,1053.45,0.06316,0.016797409,1.59E-05
132,Triethanolamine_0.48,1057.08,0.062524,0.020431446,1.93E-05
133,Triethanolamine_0.51,1060.71,0.061888,0.02485169,2.34E-05
134,Triethanolamine_0.54,1064.34,0.061252,0.030228232,2.84E-05
135,Triethanolamine_0.57,1067.97,0.060616,0.036767962,3.44E-05
136,Triethanolamine_0.6,1071.6,0.05998,0.044722531,4.17E-05
137,Triethanolamine_0.63,1075.23,0.059344,0.054398033,5.06E-05
138,Triethanolamine_0.66,1078.86,0.058708,0.066166782,6.13E-05
139,Triethanolamine_0.69,1082.49,0.058072,0.080481643,7.43E-05
140,Triethanolamine_0.72,1086.12,0.057436,0.097893454,9.01E-05
141,Triethanolamine_0.75,1089.75,0.0568,0.119072226,0.000109266
142,Triethanolamine_0.78,1093.38,0.056164,0.144832921,0.000132463
143,Triethanolamine_0.81,1097.01,0.055528,0.176166817,0.000160588
144,Triethanolamine_0.84,1100.64,0.054892,0.214279649,0.000194686
145,Triethanolamine_0.87,1104.27,0.054256,0.260638007,0.000236027
146,Triethanolamine_0.9,1107.9,0.05362,0.317025769,0.00028615
147,Triethanolamine_0.93,1111.53,0.052984,0.385612748,0.000346921
148,Triethanolamine_0.96,1115.16,0.052348,0.469038186,0.000420602
149,Triethanolamine_0.99,1118.79,0.051712,0.57051231,0.000509937
150,Glycerol_0.03,1006.74,0.072805,0.001096525,1.09E-06
151,Glycerol_0.06,1014.48,0.07291,0.001350975,1.33E-06
152,Glycerol_0.09,1022.22,0.073015,0.001664471,1.63E-06
153,Glycerol_0.12,1029.96,0.07312,0.002050713,1.99E-06
154,Glycerol_0.15,1037.7,0.073225,0.002526583,2.43E-06
155,Glycerol_0.18,1045.44,0.07333,0.003112879,2.98E-06
156,Glycerol_0.21,1053.18,0.073435,0.003835226,3.64E-06
157,Glycerol_0.24,1060.92,0.07354,0.004725194,4.45E-06
158,Glycerol_0.27,1068.66,0.073645,0.00582168,5.45E-06
159,Glycerol_0.3,1076.4,0.07375,0.007172608,6.66E-06
160,Glycerol_0.33,1084.14,0.073855,0.008837019,8.15E-06
161,Glycerol_0.36,1091.88,0.07396,0.010887658,9.97E-06
162,Glycerol_0.39,1099.62,0.074065,0.013414151,1.22E-05
163,Glycerol_0.42,1107.36,0.07417,0.016526919,1.49E-05
164,Glycerol_0.45,1115.1,0.074275,0.020362008,1.83E-05
165,Glycerol_0.48,1122.84,0.07438,0.025087033,2.23E-05
166,Glycerol_0.51,1130.58,0.074485,0.030908506,2.73E-05
167,Glycerol_0.54,1138.32,0.07459,0.038080857,3.35E-05
168,Glycerol_0.57,1146.06,0.074695,0.04691756,4.09E-05
169,Glycerol_0.6,1153.8,0.0748,0.05780483,5.01E-05
170,Glycerol_0.63,1161.54,0.074905,0.071218502,6.13E-05
171,Glycerol_0.66,1169.28,0.07501,0.087744831,7.50E-05
172,Glycerol_0.69,1177.02,0.075115,0.108106112,9.18E-05
173,Glycerol_0.72,1184.76,0.07522,0.133192249,0.000112421
174,Glycerol_0.75,1192.5,0.075325,0.164099652,0.00013761
175,Glycerol_0.78,1200.24,0.07543,0.202179149,0.000168449
176,Glycerol_0.81,1207.98,0.075535,0.249095035,0.000206208
177,Glycerol_0.84,1215.72,0.07564,0.306897801,0.000252441
178,Glycerol_0.87,1223.46,0.075745,0.378113761,0.000309053
179,Glycerol_0.9,1231.2,0.07585,0.465855459,0.000378375
180,Glycerol_0.93,1238.94,0.075955,0.573957712,0.000463265
181,Glycerol_0.96,1246.68,0.07606,0.707145206,0.000567223
182,Glycerol_0.99,1254.42,0.076165,0.871238999,0.000694535
